"family","contrast","note","AggrDiv","n_obs","n_ref","n_pool","n_null","min_attainable_p","p_emp","p_adj_fdr"
"inter_experiment","ExpB_vs_ExpA","isogenic WT Col-0, ExpB (minus Sample_11) vs ExpA -- pure technical/batch divergence ceiling",0.843705558311972,6,7,13,1716,0.0005824111822947,0.0011648223645894,0.0011648223645894
"intra_ExpA","split1","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.222754347145035,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split2","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.172420199785498,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split3","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.168069926386762,3,4,7,35,0.0277777777777778,0.0833333333333333,0.0972222222222222
"intra_ExpA","split4","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.209842562229976,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split5","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.189759796147027,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split6","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.174713352116166,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split7","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.125860332561311,3,4,7,35,0.0277777777777778,0.0833333333333333,0.0972222222222222
"intra_ExpA","split8","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.123054664581753,3,4,7,35,0.0277777777777778,0.111111111111111,0.11437908496732
"intra_ExpA","split9","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.118201173145933,3,4,7,35,0.0277777777777778,0.111111111111111,0.11437908496732
"intra_ExpA","split10","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.144203147020965,3,4,7,35,0.0277777777777778,0.0833333333333333,0.0972222222222222
"intra_ExpA","split11","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.131695503957101,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split12","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.13880715647588,3,4,7,35,0.0277777777777778,0.0833333333333333,0.0972222222222222
"intra_ExpA","split13","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.125258957174603,3,4,7,35,0.0277777777777778,0.0833333333333333,0.0972222222222222
"intra_ExpA","split14","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.126245622838555,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split15","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.138491060296945,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split16","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.162263105266502,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split17","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.120448048808014,3,4,7,35,0.0277777777777778,0.0833333333333333,0.0972222222222222
"intra_ExpA","split18","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.134980371290142,3,4,7,35,0.0277777777777778,0.111111111111111,0.11437908496732
"intra_ExpA","split19","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.125584001813229,3,4,7,35,0.0277777777777778,0.111111111111111,0.11437908496732
"intra_ExpA","split20","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.12645522592449,3,4,7,35,0.0277777777777778,0.138888888888889,0.138888888888889
"intra_ExpA","split21","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.131285573322312,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split22","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.133854347799999,3,4,7,35,0.0277777777777778,0.0833333333333333,0.0972222222222222
"intra_ExpA","split23","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.131886989636182,3,4,7,35,0.0277777777777778,0.0833333333333333,0.0972222222222222
"intra_ExpA","split24","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.12833077725904,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split25","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.157914205179117,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split26","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.212428444596791,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split27","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.172680488171842,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split28","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.190478537296657,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split29","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.128779158329592,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split30","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.14045222059958,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split31","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.125457344696884,3,4,7,35,0.0277777777777778,0.0833333333333333,0.0972222222222222
"intra_ExpA","split32","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.193761322180953,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split33","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.21739952840554,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split34","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.192702677418539,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpA","split35","real-replicate half-split, n=3 vs n=4, within one experiment (noise floor)",0.185092833493819,3,4,7,35,0.0277777777777778,0.0555555555555556,0.0925925925925926
"intra_ExpB","split1","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.208336817376016,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
"intra_ExpB","split2","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.157482142448823,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
"intra_ExpB","split3","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.148414834819198,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
"intra_ExpB","split4","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.139091664794011,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
"intra_ExpB","split5","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.150725344058262,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
"intra_ExpB","split6","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.135039045232648,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
"intra_ExpB","split7","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.138438691538764,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
"intra_ExpB","split8","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.131903224582436,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
"intra_ExpB","split9","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.125849926327034,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
"intra_ExpB","split10","real-replicate half-split, n=3 vs n=3, within one experiment (noise floor)",0.162799367620146,3,3,6,20,0.0476190476190476,0.0952380952380952,0.0952380952380952
