Vitvi17g01513	38.915	NP_190392.1	EDS1
Vitvi17g01515	40.605	NP_190392.1	EDS1
Vitvi17g01520	39.617	NP_190392.1	EDS1
Vitvi17g01523	43.316	NP_190392.1	EDS1
Vitvi17g04212	40.794	NP_190392.1	EDS1
Vitvi17g04216	40.449	NP_190392.1	EDS1
Vitvi07g01908	42.177	NP_190811.1	PAD4
Vitvi14g03030	37.542	NP_568307.3	SAG101
Vitvi14g03033	37.184	NP_568307.3	SAG101
Vitvi14g04641	36.735	NP_568307.3	SAG101
Vitvi14g04642	36.823	NP_568307.3	SAG101
Vitvi14g04644	38.462	NP_568307.3	SAG101
Vitvi09g04131	40	NP_194339.1	RPS2
Vitvi11g00146	49.557	NP_194339.1	RPS2
Vitvi19g00222	60.849	NP_187010.1	RPS2
Vitvi09g00368	38.771	NP_172686.1	RPS5
Vitvi09g00409	37.936	NP_001323155.1	RPS5
Vitvi09g00412	37.342	NP_172686.1	RPS5
Vitvi09g00416	38.736	NP_172686.1	RPS5
Vitvi09g00418	38.392	NP_172686.1	RPS5
Vitvi09g00419	39.812	NP_001323155.1	RPS5
Vitvi09g00426	37.788	NP_172686.1	RPS5
Vitvi09g00502	35.393	NP_172686.1	RPS5
Vitvi09g01565	39.706	NP_172686.1	RPS5
Vitvi09g01588	35.539	NP_172686.1	RPS5
Vitvi09g01622	37.13	NP_172686.1	RPS5
Vitvi09g01651	37.037	NP_001323155.1	RPS5
Vitvi09g02033	37.367	NP_001323155.1	RPS5
Vitvi09g04095	35.599	NP_001323155.1	RPS5
Vitvi09g04098	35.831	NP_001323155.1	RPS5
Vitvi09g04139	35.401	NP_001323155.1	RPS5
Vitvi09g04162	36.856	NP_001323155.1	RPS5
Vitvi09g04351	36.667	NP_001323155.1	RPS5
Vitvi09g04375	40.146	NP_172686.1	RPS5
Vitvi19g01643	43.58	NP_172686.1	RPS5
Vitvi19g01648	38.074	NP_172686.1	RPS5
Vitvi19g01649	39.363	NP_172686.1	RPS5
Vitvi19g01651	38.794	NP_172686.1	RPS5
Vitvi19g01654	38.778	NP_172686.1	RPS5
Vitvi19g04600	35.89	NP_001323155.1	RPS5
Vitvi05g01895	36.471	NP_187360.1	RPM1
Vitvi05g04156	35.807	NP_187360.1	RPM1
Vitvi12g00730	37.621	NP_187360.1	RPM1
Vitvi19g04516	35.897	NP_187360.1	RPM1
Vitvi03g04050	35.127	NP_190237.1	RPP13
Vitvi05g01136	42.222	NP_189143.2	RIN4
Vitvi07g02885	44.61	NP_001325873.1	RIN4
Vitvi10g01662	38.333	NP_001325873.1	RIN4
