Vitvi05g00108_P001	pr3288	35.484	62	40	0	23	84	276	337	1.20e-04	40.0	40
Vitvi05g00145_P001	pr2023	45.205	146	77	2	73	215	302	447	1.33e-31	122	46
Vitvi05g00145_P001	pr2023	61.667	60	22	1	155	214	205	263	2.08e-18	84.3	46
Vitvi05g00145_P001	pr1853	45.205	146	77	2	73	215	302	447	1.33e-31	122	46
Vitvi05g00145_P001	pr1853	61.667	60	22	1	155	214	205	263	2.08e-18	84.3	46
Vitvi05g00145_P001	pr6264	42.000	150	72	2	99	244	211	349	1.40e-31	120	47
Vitvi05g00145_P001	pr6264	60.656	61	23	1	155	215	91	150	1.19e-18	84.3	47
Vitvi05g00145_P001	pr2718	43.750	144	73	2	77	215	453	593	2.46e-30	119	45
Vitvi05g00145_P001	pr2718	58.333	60	24	1	155	214	318	376	6.01e-16	77.0	45
Vitvi05g00145_P001	pr4298	55.789	95	33	1	140	234	270	355	3.22e-28	111	31
Vitvi05g00145_P001	pr4298	58.621	58	23	1	155	212	110	166	3.36e-15	74.3	31
