WRKY48_F_Vitvi05g00145	Vitvi05g00145_t001	100.000	22	0	0	1	22	309	330	1.93e-05	44.1
WRKY48_F_Vitvi05g00145	Vitvi03g00124_t001	100.000	15	0	0	5	19	1004	990	0.29	30.2
WRKY48_F_Vitvi05g00145	Vitvi06g01395_t001	100.000	14	0	0	3	16	3088	3101	1.1	28.2
WRKY48_F_Vitvi05g00145	Vitvi06g00632_t001	100.000	14	0	0	8	21	823	836	1.1	28.2
WRKY48_F_Vitvi05g00145	Vitvi10g00131_t001	100.000	14	0	0	2	15	624	637	1.1	28.2
WRKY48_F_Vitvi05g00145	Vitvi10g00584_t001	100.000	13	0	0	2	14	720	732	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi10g00584_t002	100.000	13	0	0	2	14	720	732	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi07g01851_t001	100.000	13	0	0	5	17	1548	1560	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi16g01003_t001	100.000	13	0	0	10	22	360	372	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi01g02117_t001	100.000	13	0	0	10	22	192	204	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi10g00387_t001	100.000	13	0	0	10	22	591	603	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi03g01289_t001	100.000	13	0	0	2	14	1665	1653	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi17g00402_t001	100.000	13	0	0	8	20	679	691	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi07g00491_t001	100.000	13	0	0	10	22	711	723	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi11g01505_t001	100.000	13	0	0	10	22	594	606	4.5	26.3
WRKY48_F_Vitvi05g00145	Vitvi08g02324_t001	100.000	12	0	0	4	15	571	560	18	24.3
WRKY48_F_Vitvi05g00145	Vitvi14g01732_t001	100.000	12	0	0	1	12	196	185	18	24.3
WRKY48_F_Vitvi05g00145	Vitvi06g00786_t001	100.000	12	0	0	4	15	70	59	18	24.3
WRKY48_F_Vitvi05g00145	Vitvi03g04254_t001	100.000	12	0	0	7	18	545	556	18	24.3
WRKY48_F_Vitvi05g00145	Vitvi09g01285_t001	100.000	12	0	0	8	19	154	165	18	24.3
WRKY48_R_Vitvi05g00145	Vitvi05g00145_t001	100.000	22	0	0	1	22	455	434	1.93e-05	44.1
WRKY48_R_Vitvi05g00145	Vitvi09g00487_t001	100.000	14	0	0	9	22	922	935	1.1	28.2
WRKY48_R_Vitvi05g00145	Vitvi11g00352_t001	94.444	18	1	0	3	20	136	153	1.1	28.2
WRKY48_R_Vitvi05g00145	Vitvi11g00352_t001	100.000	11	0	0	8	18	1533	1543	71	22.3
WRKY48_R_Vitvi05g00145	Vitvi12g00537_t001	100.000	14	0	0	9	22	1210	1223	1.1	28.2
WRKY48_R_Vitvi05g00145	Vitvi07g01884_t003	100.000	13	0	0	4	16	2737	2725	4.5	26.3
WRKY48_R_Vitvi05g00145	Vitvi07g01884_t003	100.000	11	0	0	12	22	2929	2939	71	22.3
WRKY48_R_Vitvi05g00145	Vitvi07g01884_t005	100.000	13	0	0	4	16	2737	2725	4.5	26.3
WRKY48_R_Vitvi05g00145	Vitvi07g01884_t005	100.000	11	0	0	12	22	2929	2939	71	22.3
WRKY48_R_Vitvi05g00145	Vitvi07g01884_t001	100.000	13	0	0	4	16	2737	2725	4.5	26.3
WRKY48_R_Vitvi05g00145	Vitvi07g01884_t001	100.000	11	0	0	12	22	2929	2939	71	22.3
WRKY48_R_Vitvi05g00145	Vitvi07g01884_t002	100.000	13	0	0	4	16	2737	2725	4.5	26.3
WRKY48_R_Vitvi05g00145	Vitvi07g01884_t002	100.000	11	0	0	12	22	2929	2939	71	22.3
